coin,mkt_cap
BTC,114298799169.34
ETH,23161718295.12
XRP,19250423140.09
BCH,8998850691.53
EOS,5219176098.86
XLM,4610262538.69
LTC,3409619931.88
USDT,2796926995.61
ADA,2194940618.06
XMR,1872936437.84
TRX,1767001348.97
MIOTA,1590150342.86
DASH,1508482116.14
BNB,1235385641.48
NEO,1174063615.8
ETC,1145479643.6
XEM,952496945.75
XTZ,800339724.02
VET,725134061.09
DOGE,647783256.69
ZEC,622770590.81
OMG,487162789.31
BTG,463956448.32
MKR,453022299.66
BCN,402647432.58
ONT,399843825.86
ZRX,395865633.55
LSK,368009952.0
DCR,344448176.56
QTUM,341218558.62
BCD,300029716.49
BTS,295962208.38
NANO,286215864.08
ZIL,284385712.94
SC,278869872.5
DGB,274939858.76
ICX,261453323.83
STEEM,248601933.73
AE,246695071.28
XVG,236411895.58
WAVES,212037897.11
NPXS,189787529.1
BTM,184834283.1
ETN,184525936.74
BAT,175539106.13
ETP,161998763.81
HOT,152873465.02
STRAT,148155136.86
GNT,145046192.01
REP,140411615.37
SNT,138737639.92
PPT,125595065.9
KMD,123101393.08
CNX,120916343.74
TUSD,118682120.11
LINK,118172983.83
WTC,116225465.17
ARDR,112757810.17
WAN,111498328.38
MITH,108851250.68
RDD,107670652.03
IOST,107549099.25
KCS,107282395.36
MAID,103809006.33
XET,102096981.53
MOAC,100320161.17
